"","id","Date","Value","V4","detection","V6","QC_criteria"
"1","A",2020-10-13,"< LOD","Detected","Detected","Pass","Pass"
"2","A",2020-10-13,"< LOD","Detected","Detected","Pass","Pass"
"3","Moncton_Murphy",2020-10-13,"6.57E+04","Detected","Detected","Pass","Pass"
"4","Moncton_Murphy",2020-10-13,"< LOD","Detected","Detected","Pass","Pass"
"5","A",2020-10-15,"< LOD","Detected","Detected","Pass","Pass"
"6","A",2020-10-15,"< LOD","Detected","Detected","Pass","Pass"
"7","Moncton_Murphy",2020-10-15,"1.40E+04","Detected","Detected","Pass","Pass"
"8","Moncton_Murphy",2020-10-15,"< LOD","Detected","Detected","Pass","Pass"
"9","A",2020-10-19,"< LOD","Detected","Detected","Pass","Pass"
"10","A",2020-10-19,"< LOD","Detected","Detected","Pass","Pass"
"11","Moncton_Murphy",2020-10-19,"< LOD","Detected","Detected","Pass","Pass"
"12","Moncton_Murphy",2020-10-19,"< LOD","Detected","Detected","Pass","Pass"
"13","A",2020-10-22,"< LOD","Detected","Detected","Pass","Pass"
"14","A",2020-10-22,"< LOD","Detected","Detected","Pass","Pass"
"15","Moncton_Murphy",2020-10-22,"< LOD","Detected","Detected","Pass","Pass"
"16","Moncton_Murphy",2020-10-22,"< LOD","Detected","Detected","Pass","Pass"
"17","A",2020-10-26,"< LOD","Detected","Detected","Pass","Pass"
"18","A",2020-10-26,"< LOD","Detected","Detected","Pass","Pass"
"19","Moncton_Murphy",2020-10-26,"1.56E+05","Detected","Detected","Pass","Pass"
"20","Moncton_Murphy",2020-10-26,"< LOD","Detected","Detected","Pass","Pass"
"21","C - COSCa",2020-10-26,"< LOD","Detected","Detected","Pass","Pass"
"22","C - COSCa",2020-10-26,"< LOD","Detected","Detected","Pass","Pass"
"23","A",2020-10-29,"< LOD","Detected","Detected","Pass","Pass"
"24","A",2020-10-29,"< LOD","Detected","Detected","Pass","Pass"
"25","Moncton_Murphy",2020-10-29,"< LOD","Detected","Detected","Pass","Pass"
"26","Moncton_Murphy",2020-10-29,"< LOD","Detected","Detected","Pass","Pass"
"27","Moncton_112",2020-10-29,"< LOD","Detected","Detected","Pass","Pass"
"28","Moncton_112",2020-10-29,"< LOD","Detected","Detected","Pass","Pass"
"29","Moncton_44",2020-10-29,"< LOD","Detected","Detected","Pass","Pass"
"30","Moncton_44",2020-10-29,"< LOD","Detected","Detected","Pass","Pass"
"31","A",2020-11-02,"< LOD","Detected","Detected","Pass","Pass"
"32","A",2020-11-02,"< LOD","Detected","Detected","Pass","Pass"
"33","Moncton_Murphy",2020-11-02,"< LOD","Detected","Detected","Pass","Pass"
"34","Moncton_Murphy",2020-11-02,"< LOD","Detected","Detected","Pass","Pass"
"35","A",2020-11-05,"3.08E+05","Detected","Detected","Pass","Pass"
"36","A",2020-11-05,"< LOD","Detected","Detected","Pass","Pass"
"37","F - COSCa",2020-11-05,"< LOD","Detected","Detected","Pass","Pass"
"38","F - COSCa",2020-11-05,"< LOD","Detected","Detected","Pass","Pass"
"39","A",2020-11-09,"1.27E+05","Detected","Detected","Pass","Pass"
"40","A",2020-11-09,"< LOD","Detected","Detected","Pass","Pass"
"41","F - COSCa",2020-11-09,"< LOD","Detected","Detected","Pass","Pass"
"42","F - COSCa",2020-11-09,"< LOD","Detected","Detected","Pass","Pass"
"43","A",2020-11-12,"6.92E+04","Detected","Detected","Pass","Pass"
"44","A",2020-11-12,"< LOD","Detected","Detected","Pass","Pass"
"45","F - COSCa",2020-11-12,"< LOD","Detected","Detected","Pass","Pass"
"46","F - COSCa",2020-11-12,"< LOD","Detected","Detected","Pass","Pass"
"47","A",2020-11-16,"< LOD","Detected","Detected","Pass","Pass"
"48","A",2020-11-16,"< LOD","Detected","Detected","Pass","Pass"
"49","F - COSCa",2020-11-16,"< LOD","Detected","Detected","Pass","Pass"
"50","F - COSCa",2020-11-16,"< LOD","Detected","Detected","Pass","Pass"
"51","A",2020-11-19,"9.24E+05","Detected","Detected","Pass","Pass"
"52","A",2020-11-19,"< LOD","Detected","Detected","Pass","Pass"
"53","F - COSCa",2020-11-19,"< LOD","Detected","Detected","Pass","Pass"
"54","F - COSCa",2020-11-19,"< LOD","Detected","Detected","Pass","Pass"
"55","G - COSCa",2020-11-19,"< LOD","Detected","Detected","Pass","Pass"
"56","G - COSCa",2020-11-19,"< LOD","Detected","Detected","Pass","Pass"
"57","A",2020-11-23,"< LOD","Detected","Detected","Pass","Pass"
"58","A",2020-11-23,"< LOD","Detected","Detected","Pass","Pass"
"59","C - COSCa",2020-11-23,"< LOD","Detected","Detected","Pass","Pass"
"60","C - COSCa",2020-11-23,"< LOD","Detected","Detected","Pass","Pass"
"61","F - COSCa",2020-11-23,"< LOD","Detected","Detected","Pass","Pass"
"62","F - COSCa",2020-11-23,"< LOD","Detected","Detected","Pass","Pass"
"63","G - COSCa",2020-11-23,"< LOD","Detected","Detected","Pass","Pass"
"64","G - COSCa",2020-11-23,"< LOD","Detected","Detected","Pass","Pass"
"65","C - COSCa",2020-11-26,"< LOD","Detected","Detected","Pass","Pass"
"66","C - COSCa",2020-11-26,"< LOD","Detected","Detected","Pass","Pass"
"67","F - COSCa",2020-11-26,"< LOD","Detected","Detected","Pass","Pass"
"68","F - COSCa",2020-11-26,"< LOD","Detected","Detected","Pass","Pass"
"69","G - COSCa",2020-11-26,"< LOD","Detected","Detected","Pass","Pass"
"70","G - COSCa",2020-11-26,"< LOD","Detected","Detected","Pass","Pass"
"71","A",2020-12-02,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"72","A",2020-12-02,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"73","C - COSCa",2020-12-02,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"74","C - COSCa",2020-12-02,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"75","F - COSCa",2020-12-02,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"76","F - COSCa",2020-12-02,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"77","G - COSCa",2020-12-02,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"78","G - COSCa",2020-12-02,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"79","A",2020-12-03,"< LOD","Detected","Detected","Pass","Pass"
"80","C - COSCa",2020-12-03,"< LOD","Detected","Detected","Pass","Pass"
"81","F - COSCa",2020-12-03,"< LOD","Detected","Detected","Pass","Pass"
"82","G - COSCa",2020-12-03,"< LOD","Detected","Detected","Pass","Pass"
"83","A",2020-12-07,"< LOD","Detected","Detected","Pass","Pass"
"84","C - COSCa",2020-12-07,"< LOD","Detected","Detected","Pass","Pass"
"85","F - COSCa",2020-12-07,"< LOD","Detected","Detected","Pass","Pass"
"86","G - COSCa",2020-12-07,"3.64E+06","Detected","Detected","Pass","Pass"
"87","A",2020-12-10,"< LOD","Detected","Detected","Pass","Pass"
"88","C - COSCa",2020-12-10,"< LOD","Detected","Detected","Pass","Pass"
"89","F - COSCa",2020-12-10,"< LOD","Detected","Detected","Pass","Pass"
"90","G - COSCa",2020-12-10,"< LOD","Detected","Detected","Pass","Pass"
"91","A",2020-12-14,"< LOD","Detected","Detected","Pass","Pass"
"92","A",2020-12-14,"< LOD","Detected","Detected","Pass","Pass"
"93","C - COSCa",2020-12-14,"< LOD","Detected","Detected","Pass","Pass"
"94","C - COSCa",2020-12-14,"< LOD","Detected","Detected","Pass","Pass"
"95","F - COSCa",2020-12-14,"< LOD","Detected","Detected","Pass","Pass"
"96","F - COSCa",2020-12-14,"< LOD","Detected","Detected","Pass","Pass"
"97","G - COSCa",2020-12-14,"< LOD","Detected","Detected","Pass","Pass"
"98","G - COSCa",2020-12-14,"< LOD","Detected","Detected","Pass","Pass"
"99","A",2020-12-17,"< LOD","Detected","Detected","Pass","Pass"
"100","A",2020-12-17,"< LOD","Detected","Detected","Pass","Pass"
"101","C - COSCa",2020-12-17,"1.78E+05","Detected","Detected","Pass","Pass"
"102","C - COSCa",2020-12-17,"< LOD","Detected","Detected","Pass","Pass"
"103","F - COSCa",2020-12-17,"< LOD","Detected","Detected","Pass","Pass"
"104","F - COSCa",2020-12-17,"< LOD","Detected","Detected","Pass","Pass"
"105","G - COSCa",2020-12-17,"< LOD","Detected","Detected","Pass","Pass"
"106","G - COSCa",2020-12-17,"< LOD","Detected","Detected","Pass","Pass"
"107","A",2020-12-21,"< LOD","Detected","Detected","Pass","Pass"
"108","A",2020-12-21,"< LOD","Detected","Detected","Pass","Pass"
"109","C - COSCa",2021-01-04,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"110","G - COSCa",2021-01-04,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"111","F - COSCa",2021-01-04,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"112","C - COSCa",2021-01-05,"< LOD","Detected","Detected","Pass","Pass"
"113","F - COSCa",2021-01-05,"< LOD","Detected","Detected","Pass","Pass"
"114","G - COSCa",2021-01-05,"< LOD","Detected","Detected","Pass","Pass"
"115","C - COSCa",2021-01-07,"< LOD","Detected","Detected","Pass","Pass"
"116","F - COSCa",2021-01-07,"< LOD","Detected","Detected","Pass","Pass"
"117","G - COSCa",2021-01-07,"< LOD","Detected","Detected","Pass","Pass"
"118","A",2021-01-07,"< LOD","Detected","Detected","Pass","Pass"
"119","A",2021-01-08,"Not Analyzed","Not Analyzed","Not Analyzed","--","--"
"120","A",2021-01-11,"< LOD","Detected","Detected","Pass","Pass"
"121","F - COSCa",2021-01-11,"< LOD","Detected","Detected","Pass","Pass"
"122","C - COSCa",2021-01-11,"< LOD","Detected","Detected","Pass","Pass"
"123","G - COSCa",2021-01-11,"< LOD","Detected","Detected","Pass","Pass"
"124","A",2021-01-13,"< LOD","Detected","Detected","Pass","Pass"
"125","C - COSCa",2021-01-13,"< LOD","Detected","Detected","Pass","Pass"
"126","F - COSCa",2021-01-14,"< LOD","Detected","Detected","Pass","Pass"
"127","C - COSCa",2021-01-14,"< LOD","Detected","Detected","Pass","Pass"
"128","G - COSCa",2021-01-14,"< LOD","Detected","Detected","Pass","Pass"
"129","A",2021-01-14,"< LOD","Detected","Detected","Pass","Pass"
"130","A",2021-01-14,"< LOD","Detected","Detected","Pass","Pass"
"131","A",2021-01-15,"< LOD","Detected","Detected","Pass","Pass"
"132","A",2021-01-18,"< LOD","Detected","Detected","Pass","Pass"
"133","A",2021-01-18,"< LOD","Detected","Detected","Pass","Pass"
"134","F - COSCa",2021-01-18,"< LOD","Detected","Detected","Pass","Pass"
"135","G - COSCa",2021-01-18,"< LOD","Detected","Detected","Pass","Pass"
"136","C - COSCa",2021-01-19,"37.3 GU/mL","Detected","Detected","Pass","Pass"
"137","A",2021-01-19,"< LOD","Detected","Detected","Pass","Pass"
"138","A",2021-01-19,"< LOD","Detected","Detected","Pass","Pass"
