# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=2356
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/demo_resid_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,b_Intercept
-270.734,1,0.0625,2,3,0,527.497,-0.356795,-0.157462,0.85228,0.587755,0.301237,-1.35695,-0.704825,-1.17574,-1.6025,0.897305,2.33721,-0.154049,0.181335,0.17831,-1.18514,0.829014,0.590489,1.76155,-1.64252,0.223409,0.444805,0.586824,1.26466,1.99196,1.37371,0.704054,-3.17148,-1.64732,-2.74795,-3.74538,2.09719,-0.034416,0.0405119,0.0398361,-0.264772,0.185209,0.131921,0.393547,-0.366953,-0.356795
-270.734,0,14.3855,0,1,1,279.74,-0.356795,-0.157462,0.85228,0.587755,0.301237,-1.35695,-0.704825,-1.17574,-1.6025,0.897305,2.33721,-0.154049,0.181335,0.17831,-1.18514,0.829014,0.590489,1.76155,-1.64252,0.223409,0.444805,0.586824,1.26466,1.99196,1.37371,0.704054,-3.17148,-1.64732,-2.74795,-3.74538,2.09719,-0.034416,0.0405119,0.0398361,-0.264772,0.185209,0.131921,0.393547,-0.366953,-0.356795
-270.734,0,2.43117,0,1,1,282.553,-0.356795,-0.157462,0.85228,0.587755,0.301237,-1.35695,-0.704825,-1.17574,-1.6025,0.897305,2.33721,-0.154049,0.181335,0.17831,-1.18514,0.829014,0.590489,1.76155,-1.64252,0.223409,0.444805,0.586824,1.26466,1.99196,1.37371,0.704054,-3.17148,-1.64732,-2.74795,-3.74538,2.09719,-0.034416,0.0405119,0.0398361,-0.264772,0.185209,0.131921,0.393547,-0.366953,-0.356795
-270.734,4.13533e-12,0.239791,2,3,0,281.039,-0.356795,-0.157462,0.85228,0.587755,0.301237,-1.35695,-0.704825,-1.17574,-1.6025,0.897305,2.33721,-0.154049,0.181335,0.17831,-1.18514,0.829014,0.590489,1.76155,-1.64252,0.223409,0.444805,0.586824,1.26466,1.99196,1.37371,0.704054,-3.17148,-1.64732,-2.74795,-3.74538,2.09719,-0.034416,0.0405119,0.0398361,-0.264772,0.185209,0.131921,0.393547,-0.366953,-0.356795
-214.946,0.999797,0.0186273,6,63,0,283.735,-0.182539,-0.319464,0.587487,-0.367213,1.223,0.218404,-0.110647,-1.05461,-1.16671,0.742262,1.25909,-0.265693,0.641157,0.420983,-0.633322,0.571289,1.00339,0.994983,-1.21605,0.182153,0.514669,0.243696,1.46127,0.739701,-0.462355,1.53987,0.274991,-0.139314,-1.32785,-1.46899,0.934577,-0.0483968,0.116789,0.0766834,-0.115361,0.104062,0.182771,0.181239,-0.221507,-0.182539
-218.26,0.994991,0.0257102,6,127,0,227.798,-0.228429,0.482856,-0.414627,-1.17427,1.59718,1.68752,-0.708739,-1.06858,-1.51159,0.570389,0.949732,-0.32217,0.518702,0.432227,0.931667,0.584986,0.185188,1.08976,0.389669,0.205346,0.563901,0.636647,3.99512,-0.393784,-1.11524,1.5169,1.60269,-0.673112,-1.01486,-1.43561,0.541717,-0.0661562,0.106513,0.0887558,0.191314,0.120124,0.0380275,0.223777,0.0800169,-0.228429
-200.807,0.991554,0.0397667,6,63,0,229.064,-0.150347,-0.620796,-0.705079,0.0768183,0.298874,0.353724,0.852001,-1.3447,0.244366,0.0759988,2.62862,-0.536353,1.44024,1.81217,-0.660948,1.10973,0.378699,-0.914893,-0.921404,0.0825715,0.488459,0.440083,2.20143,-1.85339,0.201926,0.785626,0.929805,2.23959,-3.53472,0.642345,0.199772,-0.0442875,0.118923,0.149634,-0.0545755,0.0916322,0.0312698,-0.0755441,-0.0760818,-0.150347
-197.582,0.344299,0.065864,6,63,0,214.887,-0.188749,0.265082,-1.26671,-3.03456,-0.889672,-1.88155,3.05995,-1.54811,-0.794503,1.28491,2.10835,-0.397275,0.931613,0.940928,-1.52306,0.757586,-0.503688,0.747592,-0.0784365,0.104767,0.289924,0.365999,2.44979,-2.67068,-6.39792,-1.87574,-3.96698,6.45145,-3.26397,-1.67509,2.70904,-0.0416211,0.0976018,0.0985778,-0.159566,0.0793697,-0.0527697,0.0783226,-0.00821752,-0.188749
-191.399,0.959916,0.0149839,7,255,0,209.911,-0.102431,0.927067,-1.65959,-1.35667,-0.595648,-0.510408,2.85947,-2.03083,-1.34173,0.654427,2.31567,-0.179351,1.08939,1.1967,-0.359831,0.459257,1.85777,0.832585,-0.61157,0.109119,0.292234,0.376296,2.87927,-3.84306,-3.1416,-1.37932,-1.18193,6.62158,-4.70272,-3.10699,1.51544,-0.0195705,0.118872,0.130582,-0.0392642,0.0501135,0.202717,0.0908506,-0.0667337,-0.102431
-189.019,0.940762,0.0240593,7,127,0,206.432,-0.169054,0.28132,1.21235,-0.490023,-0.105104,-0.438289,1.30243,-1.1782,-0.274737,0.807194,4.95787,-0.284998,0.728144,1.40731,-0.192874,-0.669943,1.71372,0.446743,0.412118,0.130632,0.227849,0.325984,2.51375,6.01065,-2.42947,-0.521094,-2.17298,6.45727,-5.84139,-1.36211,4.00196,-0.0372299,0.0951192,0.183841,-0.0251957,-0.0875163,0.223867,0.0583592,0.053836,-0.169054
